"","Ids","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"347",347,20,4,72.0329166666667,12772,2,1.342,1,4,1,2,1,13,3,3,1,3,6,8,1960,1998,4,2,9,9,3,0,4,3,2,4,4,3,2,498,6,0,460,958,2,5,2,5,958,0,0,958,0,0,1,0,2,1,4,5,7,0,3.204,2,1960,2,1,301,5,5,3,0,0,0,0,0,0,2.416,2.753,1,15500,4,2007,9,5,151500
"348",348,20,4,85.751,17600,2,1.309,1,4,1,5,1,13,3,3,1,3,6,5,1960,1960,2,2,14,15,2,30,4,5,2,4,4,4,2,1270,6,0,208,1478,2,1,2,1,1478,0,0,1478,1,0,2,0,3,1,4,6,7,2,3,2,1960,3,2,498,5,5,3,0,40,0,0,0,0,2.163,2.76,2.847,0,12,2009,9,5,157500
"349",349,160,4,36,2448,2,1.85,4,4,1,5,1,16,3,3,4,6,7,5,2003,2004,2,2,13,16,4,106,3,5,3,3,4,4,3,573,6,0,191,764,2,1,2,5,764,862,0,1626,1,0,2,1,2,1,3,6,7,0,3.434,4,2003,2,2,474,5,5,3,0,27,0,0,0,0,2.225,1.84083333333333,2.72,0,10,2008,9,5,154000
"350",350,60,4,56,20431,2,1.816,2,4,1,5,1,16,3,3,1,6,9,5,2005,2006,4,2,6,6,2,870,1,5,3,1,4,4,3,1410,6,0,438,1848,2,1,2,5,1848,880,0,2728,1,0,2,1,4,1,1,10,7,2,1,2,2006,1,3,706,5,5,3,0,0,0,0,0,0,1.998,1.943,2.85,0,4,2006,7,6,437154
"351",351,120,4,68,7820,2,1.874,1,4,1,5,1,16,3,3,5,3,9,5,2007,2007,4,2,9,9,2,362,1,5,3,1,4,4,6,0,6,0,1869,1869,2,1,2,5,1869,0,0,1869,0,0,2,0,2,1,1,6,7,1,3,2,2007,2,2,617,5,5,3,210,54,0,0,0,0,2.336,1.95,2.783,0,12,2007,7,6,318061
"352",352,120,4,58.9642083333333,5271,2,1.78,1,3,1,5,2,5,3,3,1,3,7,5,1986,1986,2,2,14,15,3,0,4,5,3,3,4,2,3,1082,6,0,371,1453,2,3,2,5,1453,0,0,1453,1,0,1,1,2,1,3,6,7,1,5,2,1986,2,2,445,5,5,3,0,80,0,0,184,0,2.149,1.811,2.878,0,12,2006,9,1,190000
"353",353,50,4,60,9084,2,1.082,4,4,1,5,1,8,1,3,1,1,5,6,1941,1950,2,2,13,14,3,0,4,5,2,4,1,3,4,236,5,380,0,616,2,5,1,5,616,495,0,1111,0,1,1,0,3,1,4,5,7,0,3.601,6,1941,3,1,200,5,2,3,48,0,0,0,0,0,2.311,2.652,2.86,0,3,2008,5,5,95000
"354",354,30,5,60,8520,2,1.11,4,4,1,5,1,18,3,3,1,3,6,8,1928,2003,2,2,13,14,3,0,4,3,1,4,4,4,6,0,6,0,624,624,2,3,2,5,720,0,0,720,0,0,1,0,2,1,4,5,7,0,3.23125,6,2005,3,2,484,5,5,3,106,0,0,0,0,0,2.335,2.456,2.713,0,5,2010,9,5,105900
"355",355,50,4,60,8400,2,1.25,4,1,1,5,1,23,3,3,1,1,6,5,1940,2000,2,2,14,9,3,0,4,5,2,4,4,4,4,388,6,0,552,940,2,1,2,5,1192,403,0,1595,0,0,1,0,2,1,4,6,7,2,3,2,1940,3,1,240,5,5,3,0,0,108,0,0,0,2.293,2.78,2.808,0,6,2006,9,5,140000
"356",356,20,4,105,11249,2,1.787,2,4,1,5,1,6,3,3,1,3,6,5,1995,1995,2,2,13,14,3,0,3,3,3,3,2,4,1,334,2,544,322,1200,2,1,2,5,1200,0,0,1200,1,0,2,0,3,1,3,6,7,0,4.605,2,1995,2,2,521,5,5,3,0,26,0,0,0,0,2.143,1.641,2.932,0,8,2007,9,5,177500
"357",357,20,4,75.5152833333333,9248,2,1.763,1,4,1,5,1,9,3,3,1,3,6,6,1992,1992,2,2,7,7,2,106,4,5,3,3,4,4,3,560,6,0,598,1158,2,3,2,5,1167,0,0,1167,1,0,2,0,3,1,3,6,7,0,4.709,2,1992,2,2,400,5,5,3,120,26,0,0,0,0,2.379,1.491,2.908,0,7,2009,9,5,173000
"358",358,120,5,44,4224,2,1.381,4,4,1,5,1,11,3,3,5,3,5,5,1976,1976,2,2,6,6,3,0,4,5,3,3,4,4,1,874,6,0,268,1142,2,5,2,5,1142,0,0,1142,1,0,1,1,3,1,4,6,7,1,4,2,1976,1,2,528,5,5,3,536,90,0,0,0,0,2.389,3,2.877,0,8,2007,9,5,134000
"359",359,80,4,92,6930,2,1.306,1,4,1,5,1,5,3,3,1,8,5,4,1958,1958,4,2,14,8,2,120,4,5,2,4,4,1,2,300,5,294,468,1062,2,1,2,2,1352,0,0,1352,0,1,1,0,3,1,3,6,4,0,3.331,4,1958,3,1,288,5,5,3,168,0,294,0,0,0,2.293,2.727,2.797,0,7,2006,9,1,130000
"360",360,60,4,78,12011,2,1.812,1,4,1,2,1,14,3,3,1,6,8,5,1998,1998,2,2,13,14,2,530,3,5,3,3,4,1,3,956,6,0,130,1086,2,1,2,5,1086,838,0,1924,1,0,2,1,3,1,3,7,7,1,5,2,1998,2,2,592,5,5,3,208,75,0,0,374,0,2.092,1.671,2.972,0,6,2006,9,5,280000
"361",361,85,4,68.4427261904762,7540,2,1.33,1,4,1,2,1,12,3,3,1,7,6,6,1978,1978,2,2,13,14,3,0,4,5,2,3,4,1,3,773,6,0,115,888,2,1,2,5,912,0,0,912,1,0,1,0,2,1,4,5,7,1,5,2,1978,2,2,470,5,5,3,0,0,0,0,192,0,2.272,3,2.932,0,6,2007,9,5,156000
"362",362,50,4,62.5963333333333,9144,2,2,4,4,1,5,1,4,3,3,1,1,5,5,1940,1982,2,2,9,9,3,0,4,5,2,4,4,4,5,399,6,0,484,883,2,3,2,5,988,517,0,1505,1,0,1,0,3,1,4,8,7,0,3.132,6,1940,3,1,240,5,5,1,0,0,0,0,0,0,2.476,1.977,2.692,0,7,2008,9,5,145000
"363",363,85,4,64,7301,2,1.823,4,4,1,1,1,8,3,3,1,7,7,5,2003,2003,2,2,7,7,2,500,3,5,4,2.51,3.43733333333333,3.09993333333333,4.885,0,5.64,0,0,0,2,1,2,5,495,1427,0,1922,0,0,3,0,4,1,3,7,7,1,1,4,2003,2,2,672,5,5,3,0,0,177,0,0,0,2.133,1.786,2.88,0,7,2009,3,5,198500
"364",364,160,5,21,1680,2,1.522,4,4,1,5,1,3,3,3,4,6,6,8,1972,2007,2,2,7,7,2,510,4,5,2,4,4,4,1,162,6,0,321,483,2,3,2,5,483,504,0,987,0,0,1,1,2,1,3,5,7,0,3.59316666666667,6,1972,3,1,264,5,5,3,250,0,0,0,0,0,2.484,1.9705,2.638,0,5,2009,9,5,118000
"365",365,60,4,74.581,18800,2,1.386,1,4,1,3,1,17,3,3,1,6,6,5,1976,1976,2,2,7,7,2,120,4,5,3,3,4,3,3,712,6,0,84,796,2,5,2,5,790,784,0,1574,1,0,2,1,3,1,4,6,7,1,5,2,1976,1,2,566,5,5,3,306,111,0,0,0,0,2.219,2.733,2.93,0,7,2006,9,5,190000
"366",366,70,5,59,10690,2,1.148,4,4,1,5,1,10,3,3,1,6,5,7,1920,1997,4,2,13,14,3,0,4,3,2,4,1,4,5,456,6,0,216,672,2,3,2,1,672,672,0,1344,0,0,1,0,3,1,4,6,7,0,3.19,6,1964,3,1,468,5,2,3,0,128,218,0,0,0,2.308,2.564,2.8,0,7,2009,9,5,147000
"367",367,20,4,83.0751666666667,9500,2,1.733,1,4,1,5,1,13,3,3,1,3,6,5,1963,1963,2,2,10,11,2,247,4,5,2,3,4,4,2,609,6,0,785,1394,2,3,2,5,1394,0,0,1394,1,0,1,1,3,1,4,6,7,2,3,2,1963,2,2,514,5,5,3,0,76,0,0,185,0,2.361,1.86,2.911,0,7,2009,9,5,159000
"368",368,80,4,101,9150,2,1.689,1,4,1,1,1,13,3,3,1,8,6,5,1962,1962,2,6,10,11,2,305,4,5,2,3,4,2,3,371,6,0,728,1099,2,3,2,5,1431,0,0,1431,0,1,1,0,3,1,4,6,7,1,3,3,1962,2,1,296,5,5,3,64,110,0,0,0,0,2.547,1.74,2.811,0,12,2008,9,5,165000
"369",369,20,4,78,7800,2,1.376,4,4,1,5,1,13,3,3,1,3,5,6,1954,1954,2,2,7,7,2,200,4,5,3,4,4,4,4,540,6,0,728,1268,2,3,2,5,1268,0,0,1268,0,0,1,0,2,1,4,7,7,1,3,2,1954,1,1,244,5,5,3,0,98,0,0,0,0,2.409,2.75966666666667,2.812,0,3,2010,9,5,132000
"370",370,20,4,77.56,9830,2,1.381,1,4,1,1,1,13,3,3,1,3,5,7,1959,2006,2,2,14,15,3,0,4,3,2,4,4,4,1,72,5,258,733,1063,2,1,2,5,1287,0,0,1287,1,0,1,0,3,1,3,7,7,1,3,6,1997,1,2,576,5,5,3,364,17,0,0,182,0,2.279,2.681,2.817,0,3,2010,9,5,162000
"371",371,60,4,62.8458603174603,8121,2,1.797,1,4,1,5,1,9,3,3,1,6,6,5,2000,2000,2,2,13,14,3,0,4,5,3,3,4,4,6,0,6,0,953,953,2,1,2,5,953,711,0,1664,0,0,2,1,3,1,4,7,7,1,5,2,2000,2,2,460,5,5,3,100,40,0,0,0,0,2.34,1.87283333333333,2.933,0,1,2006,9,5,172400
"372",372,50,4,80,17120,2,1.359,4,4,1,5,1,5,2,3,1,1,4,4,1959,1959,2,2,15,11,3,0,4,5,2,3.50933333333333,3.628,3.305,4.967,0,5.649,0,0,0,2,5,2,5,1120,468,0,1588,0,0,2,0,4,1,4,7,4,1,3,6,1991,1,2,680,5,5,1,0,59,0,0,0,0,2.263,2.675,2.836,0,7,2008,9,5,134432
"373",373,120,4,50,7175,2,1.302,4,4,1,5,1,20,3,3,5,3,6,5,1984,1984,2,2,10,11,3,0,4,5,2,3,4,4,1,623,4,121,0,744,2,5,2,5,752,0,0,752,1,0,1,0,2,1,4,4,7,0,4.152,2,1984,3,1,264,5,5,3,353,0,0,0,90,0,2.318,3,2.88,0,2,2010,9,5,125000
"374",374,20,4,79,10634,2,1.401,4,4,1,5,1,13,3,3,1,3,5,6,1953,1953,2,2,9,9,3,0,4,5,3,4,4,4,2,428,4,180,0,608,2,5,2,5,1319,0,0,1319,1,0,1,0,3,1,4,5,4,0,4.193,2,1953,3,1,270,5,5,3,66,0,0,0,0,0,2.234,2,2.928,0,11,2009,9,5,123000
"375",375,60,4,65,8200,2,1.875,4,4,1,5,1,6,3,3,1,6,7,5,2003,2004,2,2,13,14,3,0,3,5,3,3,4,4,6,0,6,0,847,847,2,1,2,5,847,1081,0,1928,0,0,2,1,4,1,3,8,7,1,3,4,2003,1,2,434,5,5,3,100,48,0,0,0,0,2.313,1.63783333333333,2.893,0,7,2007,9,5,219500
"376",376,30,4,67.94475,10020,2,1.206,1,3,1,5,3,8,3,3,1,3,1,1,1922,1950,2,2,14,15,3,0,2,2,1,2,3,2,2,350,6,0,333,683,2,3,1,1,904,0,0,904,1,0,0,1,1,1,2,4,1,0,3.671,4.914,1942.478,2.768,0,0,3.7195,3.77,3,0,0,0,0,0,0,2.34,2.633,2.689,0,3,2009,9,5,61000
"377",377,85,4,57,8846,2,1.693,1,4,1,2,1,6,3,3,1,7,5,5,1996,1996,2,2,13,14,3,0,3,5,3,3,4,1,3,298,6,0,572,870,2,1,2,5,914,0,0,914,0,0,1,0,2,1,4,5,7,0,4.622,6,1998,3,2,576,5,5,3,0,0,0,0,0,0,2.362,1.897,2.917,0,7,2006,9,5,148000
"378",378,60,2,102,11143,2,1.917,1,4,1,1,1,21,3,3,1,6,8,5,2004,2005,2,2,6,6,3,0,3,5,3,3,4,4,6,0,6,0,1580,1580,2,1,2,5,1580,886,0,2466,0,0,3,0,4,1,3,8,7,1,3,2,2004,2,2,610,5,5,3,159,214,0,0,0,0,2.178,1.844,2.925,0,12,2007,9,5,340000
"379",379,20,4,88,11394,2,1.862,4,4,1,1,1,22,3,3,1,3,9,2,2010,2010,4,2,13,14,4,350,3,5,3,1,4,1,3,1445,6,0,411,1856,2,1,2,5,1856,0,0,1856,1,0,1,1,1,1,1,8,7,1,1,2,2010,1,3,834,5,5,3,113,0,0,0,0,0,2.109,2.036,2.842,0,6,2010,7,6,394432
"380",380,60,4,60,8123,2,1.809,1,4,1,5,1,9,7,3,1,6,6,5,2000,2000,2,2,13,14,2,16,4,5,3,3,4,4,6,0,6,0,982,982,2,1,2,5,1007,793,0,1800,0,0,2,1,3,1,4,7,7,1,5,2,2000,1,2,463,5,5,3,100,63,0,0,0,0,2.338,1.72683333333333,2.97,0,6,2009,9,5,179000
"381",381,50,4,50,5000,2,2,4,4,1,5,1,23,3,3,1,1,5,6,1924,1950,2,2,4,15,3,0,4,5,1,4,4,4,4,218,6,0,808,1026,2,5,2,5,1026,665,0,1691,0,0,2,0,3,1,3,6,7,1,3,6,1924,3,1,308,5,5,3,0,0,242,0,0,0,2.422,2.074,2.732,0,5,2010,9,5,127000
"382",382,20,2,60,7200,2,2,4,4,1,5,1,21,3,3,1,3,7,5,2006,2006,2,2,13,14,3,0,3,5,3,3,2,4,6,0,6,0,1293,1293,2,1,2,5,1301,0,0,1301,1,0,2,0,2,1,3,5,7,1,3,2,2006,2,2,572,5,5,3,216,121,0,0,0,0,2.335,1.68,2.869,0,8,2006,7,6,187750
"383",383,60,4,79,9245,2,1.86,1,4,1,5,1,6,3,3,1,6,7,5,2006,2006,2,2,13,14,3,0,3,5,3,3,4,1,6,0,6,0,939,939,2,1,2,5,939,858,0,1797,0,0,2,1,3,1,3,8,7,0,3.116,2,2006,2,2,639,5,5,3,144,53,0,0,0,0,2.391,1.67983333333333,2.845,0,4,2007,9,5,213500
"384",384,45,3,60,9000,2,1.286,4,4,1,1,1,20,3,3,1,2,6,3,1928,1950,2,2,14,15,3,0,4,5,1,2,1,4,6,0,6,0,784,784,2,5,1,1,784,0,0,784,0,0,1,0,2,1,4,5,7,0,3.639,6,1950,3,2,360,2,2,1,0,0,91,0,0,0,2.341,2.506,2.833,0,10,2009,9,5,76000
"385",385,60,4,99.4211,53107,2,1.83,2,3,1,1,2,5,2,3,1,6,6,5,1992,1992,2,2,7,7,3,0,3,5,3,3,4,1,3,985,6,0,595,1580,2,1,2,5,1079,874,0,1953,1,0,2,1,3,1,3,9,7,2,2,2,1992,1,2,501,5,5,3,216,231,0,0,0,0,2.374,1.651,2.867,0,6,2007,9,5,240000
"386",386,120,4,43,3182,2,1.917,4,4,1,5,1,1,3,3,5,3,8,5,2004,2005,2,2,13,14,2,16,3,5,3,3,4,4,3,24,6,0,1232,1256,2,1,2,5,1269,0,0,1269,0,0,2,0,2,1,3,6,7,1,5,2,2004,1,2,430,5,5,3,146,20,0,0,144,0,2.385,1.686,2.801,0,4,2010,9,5,192000
"387",387,50,4,58,8410,2,1.114,4,4,1,3,1,8,2,3,1,1,5,3,1910,1996,3,2,14,14,3,0,4,2,3,4,4,4,6,0,6,0,658,658,2,5,2,5,658,526,0,1184,0,0,1,0,5,1,4,8,7,0,3.627,5.238,1946.0995,2.914,0,0,3.618,3.982,1,0,151,0,0,0,0,2.225,2.5815,2.809,0,5,2006,9,2,81000
"388",388,80,4,72,7200,2,1.449,4,4,1,5,1,8,3,3,1,8,6,6,1976,1976,4,2,9,9,2,255,4,5,2,4,4,1,1,631,6,0,410,1041,2,1,2,5,1125,0,0,1125,1,0,1,0,3,1,4,6,7,1,2,6,1977,3,1,352,5,5,3,296,0,0,0,0,0,2.508,2,2.838,0,10,2009,9,1,125000
"389",389,20,4,93,9382,2,1.879,1,4,1,2,1,6,3,3,1,3,7,5,1999,2000,2,2,13,14,2,125,3,5,3,3,4,4,6,0,6,0,1468,1468,2,1,2,5,1479,0,0,1479,0,0,2,0,3,1,3,6,7,0,4.59533333333333,2,1999,2,2,577,5,5,3,120,25,0,0,0,0,2.31,1.566,2.952,0,7,2008,9,5,191000
"390",390,60,4,96,12474,2,1.822,4,4,1,5,1,16,3,3,1,6,10,5,2007,2008,2,2,13,14,4,272,1,5,3,1,4,1,3,1280,6,0,402,1682,2,1,2,5,1742,590,0,2332,1,0,2,1,3,1,1,9,7,1,1,4,2008,1,3,846,5,5,3,196,134,0,0,0,0,2.2,1.925,2.903,0,8,2008,7,6,426000
"391",391,50,4,50,8405,2,1,4,4,1,5,1,8,3,3,1,1,5,8,1900,1950,2,2,9,9,3,0,4,5,1,4,2,4,5,241,2,391,229,861,2,1,2,5,961,406,0,1367,1,0,1,0,4,1,4,7,7,0,4.093,6,1978,3,1,384,5,5,3,0,130,112,0,0,0,2.242,3,2.926,0,4,2008,9,5,119000
"392",392,60,4,71,12209,2,1.782,1,4,1,2,1,12,3,3,1,6,6,5,2001,2002,2,2,13,14,3,0,4,5,3,1,4,4,1,690,6,0,114,804,2,1,2,5,804,1157,0,1961,1,0,2,1,3,1,3,7,7,1,5,4,2001,1,2,560,5,5,3,125,192,0,0,0,0,2.168,1.89483333333333,2.93,0,6,2009,9,5,215000
"393",393,20,4,71.27,8339,2,1.282,1,4,1,5,1,13,3,3,1,3,5,7,1959,1959,2,2,9,9,3,0,4,5,4,3.605,3.797,3.428,4.888,0,5.575,0,0,0,2,5,2,5,882,0,0,882,0,0,1,0,3,1,4,5,7,0,4.088,2,1959,2,1,294,5,5,3,0,0,0,0,0,0,2.291,3,3,1200,7,2007,9,5,106500
"394",394,30,4,65.082,7446,2,1.461,4,4,1,1,1,4,2,3,1,3,4,5,1941,1950,2,2,15,16,3,0,4,5,2,4,4,4,5,266,6,0,522,788,2,5,2,1,788,0,0,788,0,0,1,0,2,1,4,4,7,2,5,4.683,1948.99875,2.706,0,0,3.931,4.193,3,0,0,0,0,0,0,2.295,2,2.837,0,4,2006,9,1,1e+05
"395",395,50,4,60,10134,2,1.031,4,4,1,5,1,18,3,3,1,1,5,6,1940,1950,2,2,9,9,3,0,4,5,2,4,4,4,6,0,6,0,735,735,2,3,2,1,735,299,0,1034,0,0,1,0,2,1,4,5,7,0,3.15766666666667,6,1940,3,1,240,5,5,3,0,39,0,0,0,0,2.359,2.9045,2.782,0,7,2007,9,5,109000
"396",396,20,4,68,9571,2,1.235,4,4,1,5,1,8,3,3,1,3,5,6,1956,1956,2,2,14,15,3,0,4,5,2,4,4,1,2,739,6,0,405,1144,2,5,2,5,1144,0,0,1144,1,0,1,0,3,1,4,6,7,0,4.094,2,1956,3,1,596,5,5,3,44,0,0,0,0,0,2.455,2.665,2.922,0,6,2010,9,5,129000
"397",397,20,4,60,7200,2,1.312,4,3,1,5,1,6,3,3,1,3,5,5,1972,1972,4,2,9,9,3,0,4,5,2,4,4,1,5,777,6,0,117,894,2,5,2,5,894,0,0,894,0,0,1,0,2,1,4,6,7,0,4.14,6,1985,2,2,600,5,5,3,215,0,0,0,0,0,2.427,2.935,2.877,0,9,2009,9,5,123000
"398",398,60,4,69,7590,2,1.659,4,4,1,5,1,13,5,3,1,6,5,5,1962,1962,2,2,13,14,2,288,4,5,2,4,4,4,1,540,6,0,324,864,2,5,2,5,876,936,0,1812,0,0,2,0,4,1,4,8,7,1,5,2,1962,2,1,264,5,5,3,0,168,0,0,0,0,2.317,1.727,2.948,0,7,2007,9,5,169500
"399",399,30,5,60,8967,2,1.094,4,4,1,1,1,10,3,3,1,3,5,2,1920,1950,2,2,9,9,3,0,4,2,1,2,3,4,6,0,6,0,961,961,2,3,2,4,1077,0,0,1077,0,0,1,0,2,1,4,6,2,0,3.513,6,1920,3,1,338,4,4,1,0,0,0,0,0,0,2.311,2.712,2.706,0,11,2007,9,1,67000
"400",400,60,2,65,8125,2,1.963,4,4,1,5,1,21,3,3,1,6,7,5,2006,2007,2,2,6,6,4,100,3,5,3,3,4,4,3,812,6,0,280,1092,2,1,2,5,1112,438,0,1550,1,0,2,0,2,1,3,7,7,0,3.1305,2,2007,1,2,438,5,5,3,0,168,0,0,0,0,2.225,1.781,2.858,0,10,2009,9,5,241000
"401",401,120,4,38,14963,2,1.863,2,4,1,5,1,25,3,3,5,3,8,5,1996,1996,2,2,4,4,3,0,3,5,3,3,4,4,3,786,6,0,474,1260,2,1,2,5,1288,0,0,1288,1,0,1,1,1,1,1,4,7,2,3,2,1996,1,2,500,5,5,3,120,30,0,0,224,0,2.211,1.698,2.77,0,12,2008,9,5,245500
"402",402,20,4,65,8767,2,1.871,1,4,1,5,1,6,3,3,1,3,7,5,2005,2005,2,2,13,14,3,0,3,5,3,3,4,1,3,24,6,0,1286,1310,2,1,2,5,1310,0,0,1310,0,0,2,0,3,1,3,6,7,1,3,2,2005,1,2,400,5,5,3,0,0,0,0,0,0,2.442,1.66,2.844,0,7,2006,7,6,164990
"403",403,30,4,60,10200,2,1.205,4,4,1,5,1,19,3,3,1,3,5,8,1940,1997,2,2,14,15,3,0,4,5,3,4,4,4,6,0,6,0,672,672,2,1,2,5,672,0,0,672,0,0,1,0,2,1,4,4,7,0,3.1765,6,1940,3,1,240,5,5,1,168,0,0,0,0,0,2.323,1,2.7,0,8,2008,9,5,108000
"404",404,60,4,93,12090,2,1.812,4,4,1,1,1,14,3,3,1,6,8,5,1998,1998,4,2,13,14,2,650,3,5,3,3,4,4,6,0,6,0,1141,1141,2,3,2,5,1165,1098,0,2263,0,0,2,1,4,1,3,10,7,1,5,4,1998,1,2,420,5,5,3,144,123,0,0,0,0,2.046,1.44,2.983,0,7,2006,9,1,258000
"405",405,60,4,69.5023333333333,10364,2,1.44,1,4,1,5,1,9,3,3,1,6,6,5,1995,1996,2,2,9,9,3,0,4,5,3,3,4,4,6,0,6,0,806,806,2,3,2,5,806,766,0,1572,0,0,2,1,3,1,4,7,7,1,5,4,1995,1,2,373,5,5,3,0,40,0,0,0,0,2.335,2.512,2.954,0,5,2007,9,5,168000
"406",406,20,4,85.693,9991,2,1.605,1,4,1,1,1,19,2,3,1,3,4,4,1976,1993,2,2,10,11,3,0,4,5,2,4,4,4,2,1116,6,0,165,1281,2,1,2,5,1620,0,0,1620,1,0,2,0,3,1,4,8,3,1,5,2,1993,3,2,490,5,5,3,120,78,0,0,0,0,2.123,2,2.936,0,6,2009,9,5,150000
"407",407,50,4,51,10480,2,1.27,4,4,1,5,1,23,3,3,1,1,6,5,1936,1950,2,2,9,9,3,0,4,5,1,4,4,4,6,0,6,0,1064,1064,2,1,2,1,1166,0,473,1639,0,0,1,0,3,1,4,6,2,0,3.34366666666667,6,1936,3,1,240,5,5,3,0,0,0,0,0,0,2.355,2.8036,2.745,0,3,2008,9,5,115000
"408",408,70,4,63,15576,2,1.252,4,4,1,5,1,7,3,3,1,6,6,7,1915,1976,2,2,14,11,3,0,4,5,1,3,4,4,6,0,6,0,840,840,2,1,2,5,840,840,0,1680,0,0,2,0,4,1,4,8,7,0,3.274,2,1960,3,1,308,5,5,3,0,0,160,0,0,0,2.424,2.482,2.717,0,3,2008,9,5,177000
"409",409,60,4,109,14154,2,1.829,4,4,1,1,1,16,3,3,1,6,7,5,2006,2006,2,2,13,14,2,350,3,5,3,1,2,4,6,0,6,0,1063,1063,2,1,2,5,1071,1101,0,2172,0,0,2,1,3,1,3,9,7,1,3,2,2006,2,3,947,5,5,3,192,62,0,0,0,0,2.222,1.576,2.87,0,8,2007,7,6,280000
"410",410,60,2,85,10800,2,1.942,4,4,1,5,1,21,3,3,1,6,8,5,2007,2008,2,2,13,14,4,100,3,5,3,1,4,4,3,789,6,0,245,1034,2,1,2,5,1050,1028,0,2078,1,0,2,1,3,1,1,8,7,1,3,2,2008,1,3,836,5,5,3,0,102,0,0,0,0,2.023,1.62183333333333,2.904,0,4,2008,7,6,339750
"411",411,20,4,68,9571,2,1.303,4,4,1,5,1,8,3,3,1,3,5,3,1958,1958,2,2,3,3,3,0,4,2,2,4,1,4,6,0,6,0,1276,1276,2,5,2,1,1276,0,0,1276,0,0,1,0,3,1,4,5,5,0,3.453625,2,1958,3,1,350,5,5,3,0,0,0,0,0,0,2.391,2.656,2.725,0,6,2009,1,1,60000
"412",412,190,4,100,34650,2,1.321,4,1,1,5,1,9,3,3,2,3,5,5,1955,1955,4,2,14,15,3,0,4,5,2,4,4,3,5,1056,6,0,0,1056,2,5,1,5,1056,0,0,1056,1,0,1,0,3,1,4,5,7,0,3.478,2,1955,1,2,572,5,5,3,264,0,0,0,0,0,2.43,2.84,2.69,0,1,2006,9,5,145000
"413",413,20,2,68.8315,4403,2,1.989,2,4,1,5,1,21,3,3,1,3,7,5,2009,2009,2,2,9,9,4,432,1,5,3,1,4,1,3,578,6,0,892,1470,2,1,2,5,1478,0,0,1478,1,0,2,1,2,1,3,7,7,1,3,2,2009,1,2,484,5,5,3,0,144,0,0,0,0,2.307,1.855,2.863,0,6,2010,7,6,222000
"414",414,30,5,56,8960,2,1,4,4,1,5,1,18,1,3,1,3,5,6,1927,1950,2,2,15,16,3,0,4,5,2,4,4,4,6,0,6,0,1008,1008,2,3,2,1,1028,0,0,1028,0,0,1,0,2,1,4,5,7,1,3,6,1927,3,2,360,5,5,3,0,0,130,0,0,0,2.335,2.7696,2.767,0,3,2010,9,5,115000
"415",415,60,4,59,11228,2,1.776,2,4,1,2,1,20,3,3,1,6,7,5,1993,1993,2,2,13,14,3,0,3,5,3,3,4,4,2,50,3,531,499,1080,2,1,2,5,1080,1017,0,2097,0,1,2,1,3,1,3,9,7,1,5,2,1993,3,3,678,5,5,3,196,187,0,0,0,0,2.182,1.385,2.964,0,12,2008,9,5,228000
"416",416,20,4,73,8899,2,1.87,1,4,1,5,1,9,3,3,1,3,7,5,2007,2007,2,2,13,14,3,0,3,5,3,3,4,1,3,24,6,0,1316,1340,2,1,2,5,1340,0,0,1340,0,0,2,0,3,1,3,6,7,0,3.052,2,2007,1,2,396,5,5,3,100,30,0,0,0,0,2.42,1.622,2.875,0,8,2007,7,6,181134
"417",417,60,4,74,7844,2,1.312,4,4,1,5,1,19,3,3,1,6,6,7,1978,1978,4,2,7,7,2,203,4,5,2,4,4,4,1,209,6,0,463,672,2,5,2,5,672,728,0,1400,0,0,1,1,3,1,4,6,7,1,5,2,1978,1,2,440,5,5,3,0,0,0,0,0,0,2.351,2.75,2.922,0,3,2006,9,5,149500
"418",418,70,4,86,22420,2,1.639,1,4,1,5,1,7,2,3,1,6,6,6,1918,1950,4,2,14,13,3,0,4,5,1,3,4,4,2,1128,6,0,242,1370,3,5,1,1,1370,1254,0,2624,1,0,2,1,4,1,4,10,7,1,3,6,1918,3,3,864,5,5,1,0,0,0,0,0,0,2.057,1.729,2.737,0,11,2007,9,5,239000
